"","Years","LnRgdp_Algeria","LnEnergy_Algeria","res_Algeria","LnRgdp_Angola","LnEnergy_Angola","res_Angola","LnRgdp_Egypt","LnEnergy_Egypt","res_Egypt","LnRgdp_Gabon","LnEnergy_Gabon","res_Gabon","LnRgdp_Nigeria","LnEnergy_Nigeria","res_Nigeria","LnRgdp_Rcongo","LnEnery_RCongo","res_Congo"
"11",1990,8.180948129,0.618326270835194,0.574680246331343,7.895726468,-0.18615602796918,-0.252801223062535,7.350432674,0.638710036220689,-0.186532458349077,9.319102396,-1.25308565222276,-0.242095569503215,7.323177319,0.526977910868839,0.451412761661454,7.940754692,-0.15464412358114,-0.34466375707797
"12",1991,8.144272715,0.631001327835285,0.529285890694142,7.872344626,-0.159701995799022,-0.275614314039932,7.338901129,0.638806411399634,-0.165147457868584,9.351114845,-1.12140302134505,-0.270824693519567,7.301296243,0.543571449142337,0.554923104565418,7.936985335,-0.0917155372405626,-0.372622529831477
"13",1992,8.138608545,0.625103932641641,0.521780062220312,7.7793875,-0.127919747771967,-0.345015204714324,7.361261064,0.638126111597314,-0.144389856793397,9.292635311,-1.02632886590081,-0.246789843066477,7.321353887,0.546812552156003,0.562661598953924,7.935225961,-0.0614751079088644,-0.348246756600037
"14",1993,8.095168731,0.613519566006038,0.562309419598515,7.472699702,-0.143526303969738,-0.570444980405746,7.369373852,0.646042902777352,-0.0671563616811331,9.304574519,-1.24747108681499,-0.141563164141698,7.275760789,0.549185460937411,0.517317893732226,7.897686731,-0.0273601383155915,-0.300462807102162
"15",1994,8.065419188,0.61815460132895,0.533653671224105,7.453747254,-0.159701995799022,-0.602331065893437,7.388247461,0.65067768607955,-0.130688986993839,9.314696784,-1.02632886590081,-0.121595930376244,7.232509123,0.537668486602085,0.674470222362359,7.813272181,0.00663204338476879,-0.353507910322946
"16",1995,8.08361869,0.623919445406657,0.567297292234112,7.561340088,-0.113414765599595,-0.451980073413155,7.413560321,0.653850869875165,-0.131129197285077,9.337383511,-1.40542430920279,-0.0825858550044754,7.206881615,0.556640741172914,0.453186702454748,7.824186001,-0.0273601383155915,-0.354788868986153
"17",1996,8.1062672,0.62021576884189,0.527418918331213,7.6562189,-0.143526303969738,-0.43742831594257,7.442111865,0.664532302485217,-0.178566749200863,9.347504159,-1.12565847221132,-0.106864939417972,7.223098724,0.559890814159679,0.591852568443907,7.837696419,-0.0287213791898364,-0.396411482213716
"18",1997,8.10105331,0.613679100123314,0.4798976151439,7.69426529,-0.0799169146862392,-0.394407518239668,7.475492286,0.669456593647349,-0.251558748716821,9.378119194,-0.948084691758615,-0.10806669200263,7.227154018,0.560088748173488,0.704259498497622,7.802605803,-0.0287213791898364,-0.430124154682402
"19",1998,8.135789277,0.619074834944635,0.519841291609515,7.707817766,-0.135462796186525,-0.416724916527546,7.509789957,0.67345718196079,-0.196449272663389,9.387451712,-1.12565847221132,-0.0695017077966261,7.227727856,0.553182320855226,0.5954694621785,7.810299965,0.0392924406265481,-0.432634856800456
"20",1999,8.153125272,0.61869193387596,0.678095563763236,7.696907852,-0.0734896736221771,-0.244685591193282,7.548893119,0.678593373261446,-0.0929066243568558,9.26940519,-2.25766748323202,0.114239865130267,7.208585534,0.553607910127444,-0.144429272888483,7.755158848,0.0652659481273247,-0.31031394045488
"21",2000,8.176835817,0.616762340553303,0.586511483670921,7.6942243,-0.0927235115897254,-0.374327662680495,7.591341903,0.684194732054489,-0.167353904617531,9.226247185,-1.34997591579803,0.0464702483297972,7.232494668,0.551904868418544,0.310246560561215,7.799322898,0.0584157791282013,-0.401546725263907
"22",2001,8.193295167,0.619240507743267,0.611343321892033,7.702411568,0.0471755718562764,-0.265139591064055,7.60707338,0.697207027501488,-0.220705272878222,9.223530005,-1.59926712484663,0.0776747237550952,7.264870126,0.571337924456331,0.146197185709859,7.808107668,-0.0437107858267067,-0.349370367414711
"23",2002,8.235034504,0.621417402632534,0.577187807421887,7.797209101,0.0792972883943344,-0.22605265822372,7.611877018,0.69902350062173,-0.261402955837393,9.197226763,-1.34997591579803,0.0063405685012662,7.382273701,0.575328996287306,0.210566039365325,7.824581867,-0.0137569894143362,-0.306638801227367
"24",2003,8.291799611,0.622838090357526,0.65158112756227,7.7928814,0.101570387514779,-0.198696615598719,7.624726402,0.7080029595847,-0.312343783610909,9.195190185,-1.59926712484663,0.0419131419531331,7.427798292,0.582485686880235,0.0571657838749041,7.803941258,-0.0834416550775268,-0.239619654180678
"25",2004,8.320723216,0.619070229396565,0.724035489502633,7.862289323,0.129889362033775,-0.0641298637657931,7.646520933,0.71523271959691,-0.285384113834501,9.176746359,-2.25766748323202,0.114651356024576,7.490674562,0.583229180660732,-0.359001111195423,7.808176758,-0.118077618035309,-0.130171756731496
