Year,Country,log_GDP,Misallignment,Residual
1990,5,7.24526,-0.791263,0.038647
1991,5,7.29963,-0.704172,0.0827368
1992,5,7.25222,-0.706661,0.0356206
1993,5,7.22484,-0.725453,0.0104589
1994,5,7.31718,-0.800756,0.111688
1995,5,7.2363,-0.748983,0.0246964
1996,5,7.34799,-0.665391,0.1265187
1997,5,7.31394,-0.578871,0.0822555
1998,5,7.37777,-0.514955,0.1385404
1999,5,7.37085,1.02734,-0.05044
2000,5,7.37511,1.08127,-0.0525454
2001,5,7.437,1.14442,0.0018893
2002,5,7.45922,1.175,0.0204994
2003,5,7.51036,1.12484,0.07756
2004,5,7.54715,1.10186,0.1170635
2005,5,7.56619,1.10263,0.1360119
2006,5,7.63037,1.11101,0.1992039
2007,5,7.64627,1.07472,0.2193873
2008,5,7.69258,1.04071,0.2697125
2009,5,7.72231,1.02875,0.3008543
2010,5,7.7472,1.02762,0.3258765
2011,5,7.785,0.979795,0.3693225
2012,5,7.8007,0.982556,0.3846969
2013,5,7.83265,0.957498,0.4196048
2014,5,7.84251,0.938866,0.4316643
1970,6,5.82564,-0.366534,-0.4137245
1971,6,5.80305,-0.501677,-0.4203622
1972,6,5.78373,0.00082,-0.4990051
1973,6,5.82412,0.196406,-0.4816993
1974,6,5.83028,0.211779,-0.477359
1975,6,5.84192,0.209037,-0.4653895
1976,6,5.86166,0.080482,-0.4304737
1977,6,5.86905,0.02699,-0.4167744
1978,6,5.91438,-0.00997,-0.3670824
1979,6,5.91851,-0.041385,-0.3592379
1980,6,6.00665,-0.064301,-0.2683952
1981,6,6.04987,-0.105361,-0.2203282
1982,6,6.07985,-0.012823,-0.2012717
1983,6,6.112,0.02679,-0.173798
1984,6,6.12814,0.003846,-0.1549495
1985,6,6.16843,0.03057,-0.1178143
1986,6,6.18951,0.005559,-0.0937819
1987,6,6.22005,-0.023897,-0.0597649
1988,6,6.2623,-0.04217,-0.0153576
1989,6,6.2805,0.012229,-0.0035792
