"","Years","LnRgdp_Algeria","LnEnergy_Algeria","res_Algeria","LnRgdp_Angola","LnEnergy_Angola","res_Angola","LnRgdp_Egypt","LnEnergy_Egypt","res_Egypt","LnRgdp_Gabon","LnEnergy_Gabon","res_Gabon","LnRgdp_Nigeria","LnEnergy_Nigeria","res_Nigeria","LnRgdp_Rcongo","LnEnery_RCongo","res_Congo"
"16",1995,8.08361869,6.737014406,-0.0696797018773778,7.561340088,6.121768863,-0.105733200099781,7.413560321,6.334256061,-0.421440408548894,9.337383511,7.119789348,0.881580228164943,7.206881615,6.52601158,-0.779662426298983,7.824186001,5.694304366,0.494935508660095
"17",1996,8.1062672,6.687233288,-0.0479070487847306,7.6562189,6.118229348,-0.0482747246434822,7.442111865,6.373695146,-0.464274947749318,9.347504159,7.134755384,0.839655706401708,7.223098724,6.542731293,-0.816876408164808,7.837696419,5.606426871,0.537677422940631
"18",1997,8.10105331,6.69550221,-0.078412162815151,7.69426529,6.107579526,-0.0205681813426869,7.475492286,6.394259427,-0.465902704073877,9.378119194,7.12184194,0.861719822480016,7.227154018,6.551151761,-0.838232104149512,7.802605803,5.533587098,0.54139532990121
"19",1998,8.135789277,6.714813527,-0.0724322323980919,7.707817766,6.072767998,0.00700123908378188,7.509789957,6.443367849,-0.483909554705979,9.387451712,7.158762994,0.828379427460115,7.227727856,6.533076375,-0.836867800928578,7.810299965,5.50545348,0.557828921488749
"20",1999,8.153125272,6.765961273,-0.0731234534111998,7.696907852,6.089407621,0.00533568523688334,7.548893119,6.445783309,-0.424320756269752,9.26940519,7.107302616,0.773396314658289,7.208585534,6.543278552,-0.841678285287788,7.755158848,5.460776294,0.56039049507357
"21",2000,8.176835817,6.768044835,-0.0806137728130901,7.6942243,6.08347383,-0.0222126620316351,7.591341903,6.379563058,-0.359092716145468,9.226247185,7.087765834,0.716123881923372,7.232494668,6.556266862,-0.857587976905805,7.799322898,5.424861908,0.603383245972628
"22",2001,8.193295167,6.7569789,-0.035313005841724,7.702411568,6.093524622,-0.00187240803524763,7.60707338,6.476572283,-0.399931015289858,9.223530005,7.134811167,0.696323109546158,7.264870126,6.579876017,-0.823774631184788,7.808107668,5.510521298,0.564567950805461
"23",2002,8.235034504,6.811574721,-0.0481207689694614,7.797209101,6.105373421,0.0721607566984859,7.611877018,6.48882492,-0.416210896463747,9.197226763,7.29926344,0.528653829220377,7.382273701,6.586185448,-0.722757692972451,7.824581867,5.489474772,0.586274772486794
"24",2003,8.291799611,6.859677861,0.0104159456405676,7.7928814,6.147698769,0.0741708199377957,7.624726402,6.507650777,-0.378452232217217,9.195190185,7.436805816,0.457705531985258,7.427798292,6.616091959,-0.661080800467778,7.803941258,5.626361328,0.497240735121374
"25",2004,8.320723216,6.858848608,0.0393416660292257,7.862289323,6.14162872,0.147722630027151,7.646520933,6.567164573,-0.404344359190841,9.176746359,7.560382503,0.340946504368908,7.490674562,6.618405149,-0.600685870166562,7.808176758,5.656481202,0.477019428932114
"26",2005,8.364149232,6.885458544,0.055032237665812,7.966926564,6.07205326,0.300639205940227,7.672208653,6.701960366,-0.491890759888581,9.176369852,7.677895908,0.240994051028435,7.527218244,6.631171393,-0.580937040345362,7.851380983,5.703749141,0.476162305599472
