Country,Year,lnrgdp,lnec2,residual
Nigeria,2014,7.849284816,1.64524463,-0.27980813
Nigeria,2015,7.84899225,1.681037665,-0.276414866
Nigeria,2016,7.806415503,1.681765064,-0.297301185
Nigeria,2017,7.788364946,1.669637348,-0.29695785
Rep. of Congo,1980,7.75209878,-0.620664295,-0.676722397
Rep. of Congo,1981,7.885178739,-0.532105431,-0.518485367
Rep. of Congo,1982,8.06783889,-0.568157078,-0.375334944
Rep. of Congo,1983,8.095674918,-0.643677207,-0.382357219
Rep. of Congo,1984,8.134382523,-0.597011237,-0.3571912
Rep. of Congo,1985,8.094158641,-0.415056518,-0.34353134
Rep. of Congo,1986,7.995208874,-0.490414627,-0.433792196
Rep. of Congo,1987,7.969572178,-0.380713011,-0.39414475
Rep. of Congo,1988,7.959758024,-0.469523859,-0.460315936
Rep. of Congo,1989,7.958150239,-0.417355372,-0.462248275
Rep. of Congo,1990,7.940754692,-0.366984588,-0.474118855
Rep. of Congo,1991,7.936985335,-0.416204624,-0.488341783
Rep. of Congo,1992,7.935225961,-0.442153843,-0.479406552
Rep. of Congo,1993,7.897686731,-0.47337497,-0.45481844
Rep. of Congo,1994,7.813272181,-0.506676222,-0.524823728
Rep. of Congo,1995,7.824186001,-0.47337497,-0.535982884
Rep. of Congo,1996,7.837696419,-0.472087968,-0.555178751
Rep. of Congo,1997,7.802605803,-0.472087968,-0.60527974
Rep. of Congo,1998,7.810299965,-0.540877586,-0.630965686
Rep. of Congo,1999,7.755158848,-0.569717142,-0.671273216
Rep. of Congo,2000,7.799322898,-0.561965048,-0.636999445
Rep. of Congo,2001,7.808107668,-0.458145366,-0.626846972
Rep. of Congo,2002,7.824581867,-0.486430542,-0.662929074
Rep. of Congo,2003,7.803941258,-0.42314918,-0.686034538
Rep. of Congo,2004,7.808176758,-0.39482904,-0.706435232
Rep. of Congo,2005,7.851380983,-0.192096486,-0.655988246
Rep. of Congo,2006,7.878655401,-0.174070021,-0.648181736
