Country,Year,lnrgdp,lnec2,residual
Nigeria,1999,7.208585534,3.271639276,-0.841678285
Nigeria,2000,7.232494668,3.278133431,-0.857587977
Nigeria,2001,7.264870126,3.289938008,-0.823774631
Nigeria,2002,7.382273701,3.293092724,-0.722757693
Nigeria,2003,7.427798292,3.308045979,-0.6610808
Nigeria,2004,7.490674562,3.309202575,-0.600685871
Nigeria,2005,7.527218244,3.315585697,-0.580937041
Nigeria,2006,7.559934621,3.306651839,-0.49569439
Nigeria,2007,7.597446495,3.310822652,-0.487216579
Nigeria,2008,7.636399904,3.312198589,-0.450004885
Nigeria,2009,7.687075569,3.290880973,-0.343696022
Nigeria,2010,7.737376394,3.314252116,-0.347113271
Nigeria,2011,7.762315278,3.328902817,-0.344997877
Nigeria,2012,7.776933439,3.34144888,-0.351674562
Nigeria,2013,7.814746908,3.329736695,-0.278512384
Nigeria,2014,7.849284816,3.319041689,-0.255275034
Nigeria,2015,7.84899225,3.330159518,-0.278914637
Nigeria,2016,7.806415503,3.326339033,-0.287331133
Nigeria,2017,7.788364946,3.325201329,-0.286286453
Rep. of Congo,1980,7.75209878,2.926948223,0.17693451
Rep. of Congo,1981,7.885178739,2.927535961,0.350978228
Rep. of Congo,1982,8.06783889,2.942231899,0.534964365
Rep. of Congo,1983,8.095674918,2.984443286,0.528793376
Rep. of Congo,1984,8.134382523,2.953674487,0.566700765
Rep. of Congo,1985,8.094158641,2.959648499,0.517223889
Rep. of Congo,1986,7.995208874,2.937633876,0.47914895
Rep. of Congo,1987,7.969572178,2.931957613,0.492084083
Rep. of Congo,1988,7.959758024,2.904746465,0.502431013
Rep. of Congo,1989,7.958150239,2.90984855,0.47257875
Rep. of Congo,1990,7.940754692,2.905660309,0.457623736
Rep. of Congo,1991,7.936985335,2.913530745,0.45778135
Rep. of Congo,1992,7.935225961,2.893663369,0.505566099
Rep. of Congo,1993,7.897686731,2.882908933,0.553731002
Rep. of Congo,1994,7.813272181,2.794970829,0.566027784
Rep. of Congo,1995,7.824186001,2.847152183,0.494935509
Rep. of Congo,1996,7.837696419,2.803213436,0.537677423
Rep. of Congo,1997,7.802605803,2.766793549,0.54139533
Rep. of Congo,1998,7.810299965,2.75272674,0.557828922
Rep. of Congo,1999,7.755158848,2.730388147,0.560390495
Rep. of Congo,2000,7.799322898,2.712430954,0.603383246
Rep. of Congo,2001,7.808107668,2.755260649,0.564567951
Rep. of Congo,2002,7.824581867,2.744737386,0.586274772
Rep. of Congo,2003,7.803941258,2.813180664,0.497240735
Rep. of Congo,2004,7.808176758,2.828240601,0.477019429
Rep. of Congo,2005,7.851380983,2.85187457,0.476162306
Rep. of Congo,2006,7.878655401,2.96846458,0.357561379
Rep. of Congo,2007,7.828332809,2.891989508,0.405672706
Rep. of Congo,2008,7.848227273,2.908689491,0.399604441
Rep. of Congo,2009,7.887426362,2.958599435,0.381855245
Rep. of Congo,2010,7.940832995,2.986102636,0.375012719
Rep. of Congo,2011,7.946522017,3.115280092,0.176858545
Rep. of Congo,2012,7.957908849,3.170497011,0.099505455
Rep. of Congo,2013,7.967086053,3.170937455,0.12482306
Rep. of Congo,2014,8.008279073,3.159312856,0.156184826
Rep. of Congo,2015,8.009562459,3.166944635,0.139631186
Rep. of Congo,2016,7.955768769,3.165754879,0.115839646
Rep. of Congo,2017,7.898570753,3.164015347,0.07868811
