id,Year,lnec,lnperinc,es,open
2,1981,6.275872516,7.984258282,62.87806573,100.03
2,1982,6.226655239,7.948727862,62.88055441,100.03
2,1983,6.218400897,7.954196695,62.87469399,100.03
2,1984,6.193037108,7.976825465,62.87894878,100.03
2,1985,6.216446408,7.975746835,62.88802046,100.03
2,1986,6.192587413,7.969015241,62.85711274,100.03
2,1987,6.181299474,7.973889141,62.89171315,100.03
2,1988,6.186290925,7.998550427,62.91523548,100.03
2,1989,6.173973586,7.964621535,62.76438957,66.69
2,1990,6.207664044,7.895726468,62.9955144,66.69
2,1991,6.19807213,7.872344626,62.98580247,171.18
2,1992,6.170844281,7.7793875,62.31185185,167.37
2,1993,6.173411034,7.472699702,63.68888889,161.43
2,1994,6.154730697,7.453747254,62.95666667,206.26
2,1995,6.121768863,7.561340088,60.29,149.67
2,1996,6.118229348,7.6562189,67.82,152.12
2,1997,6.107579526,7.69426529,60.76,137.69
2,1998,6.072767998,7.707817766,55.16,129.87
2,1999,6.089407621,7.696907852,72.72,178.99
2,2000,6.08347383,7.6942243,72.12,152.46
2,2001,6.093524622,7.702411568,64.88,150.34
2,2002,6.105373421,7.797209101,56.08,124.96
2,2003,6.147698769,7.7928814,53.12,130.45
2,2004,6.14162872,7.862289323,54.63,124.4
2,2005,6.07205326,7.966926564,60.4,139.66
2,2006,6.128592589,8.040011864,58.11,118.77
2,2007,6.15632199,8.134320932,61.88,117.47
2,2008,6.198438065,8.203071314,60.25,127.54
2,2009,6.244593994,8.174584566,44.06,110.32
2,2010,6.255673263,8.185316778,52.37,105.27
2,2011,6.257246043,8.183106906,56.03,107.52
2,2012,6.314200008,8.2290977,56.92,103.32
2,2013,6.2799463,8.241934956,53.36,95.07
2,2014,6.300069942,8.254060632,46.2,90.26
2,2015,6.298170758,8.229063019,41.93,70.33
2,2016,6.292770064,8.169140965,42.64,59.43
2,2017,6.297008367,8.134447042,42.17,57.59
3,1980,5.853753001,7.005163257,33.39,73.38
3,1981,5.981843412,7.051188734,31.28,82.18
3,1982,6.047395819,7.120323104,30.05,68.97
3,1983,6.125623868,7.144241421,28.59,61.91
3,1984,6.202737926,7.211039995,28.77,58.16
3,1985,6.255423693,7.240800221,29.6,51.96
3,1986,6.255366091,7.260241462,27.89,41.33
3,1987,6.291735792,7.270765115,25.94,35.32
3,1988,6.288731785,7.297226497,27.45,52.48
3,1989,6.327222243,7.319580121,26.59,50.24
3,1990,6.353552315,7.350432674,27.41,52.76
3,1991,6.331395083,7.338901129,32.13,63.61
3,1992,6.335780938,7.361261064,31.41,59.31
3,1993,6.351583553,7.369373852,31.15,55.93
3,1994,6.292790615,7.388247461,30.5,50.63
3,1995,6.334256061,7.413560321,30.25,50.25
3,1996,6.373695146,7.442111865,29.52,46.95
3,1997,6.394259427,7.475492286,29,43.74
3,1998,6.443367849,7.509789957,28.65,41.93
3,1999,6.445783309,7.548893119,28.4,38.36
3,2000,6.379563058,7.591341903,30.75,39.02
3,2001,6.476572283,7.60707338,30.9,39.81
3,2002,6.48882492,7.611877018,32.18,40.99
3,2003,6.507650777,7.624726402,33.37,46.18
3,2004,6.567164573,7.646520933,34.67,57.82
3,2005,6.701960366,7.672208653,34.15,62.95
3,2006,6.739324793,7.720687933,36.15,61.52
3,2007,6.790535834,7.77164895,34.99,65.08
3,2008,6.810803753,7.822981444,36.21,71.68
3,2009,6.815080623,7.850013907,35.82,56.55
3,2010,6.775982339,7.880358289,35.78,47.94
3,2011,6.803127828,7.876710565,35.95,45.26
3,2012,6.808586665,7.876581533,39.25,40.71
3,2013,6.743623284,7.875522089,39.89,40.37
3,2014,6.718409107,7.881669428,39.89,36.92
3,2015,6.757598834,7.902391279,36.63,34.85
3,2016,6.740008328,7.923489455,32.46,30.02
3,2017,6.738800433,7.943541357,33.75,44.79
4,1980,7.545331608,9.408121807,60.43,96.35
4,1981,7.635545403,9.432844519,58.41,104.06
4,1982,7.639040856,9.375879386,60.64,101.26
4,1983,7.641199516,9.404434855,56.84,104.87
4,1984,7.542409626,9.450340254,59.7,99.29
4,1985,7.404984894,9.399784006,66.53,119.85
4,1986,7.376889781,9.364358472,47.5,89.9
4,1987,7.296725085,9.148631976,48.85,87.91
4,1988,7.324786573,9.241715969,35.95,78.52
4,1989,7.225881684,9.296006928,41.73,86.99
4,1990,7.126288218,9.319102396,43,76.9
4,1991,7.131082813,9.351114845,44.61,80.53
4,1992,7.170665548,9.292635311,43.32,79.87
4,1993,7.200327873,9.304574519,45.25,83.34
4,1994,7.05343014,9.314696784,52.62,99.93
4,1995,7.119789348,9.337383511,52.36,95.13
4,1996,7.134755384,9.347504159,55.37,95.67
4,1997,7.12184194,9.378119194,53.65,98.54
4,1998,7.158762994,9.387451712,43.14,95.97
4,1999,7.107302616,9.26940519,48.82,97.73
4,2000,7.087765834,9.226247185,56.26,101.7
4,2001,7.134811167,9.223530005,47.71,83.64
4,2002,7.29926344,9.197226763,47.32,84.76
4,2003,7.436805816,9.195190185,47.04,80.3
4,2004,7.560382503,9.176746359,51.5,81.77
4,2005,7.677895908,9.176369852,59.92,84.75
4,2006,7.76743333,9.119820301,59.47,89.77
4,2007,7.845991439,9.148934007,57.22,85.13
4,2008,7.909614347,9.084552634,61.74,89
4,2009,7.966794793,9.053212765,50.45,83.5
4,2010,8.048494311,9.087124731,55.19,89.16
4,2011,7.795325497,9.119070121,60.88,90.5
4,2012,7.636578436,9.132363695,58.82,92.34
4,2013,7.977233942,9.149426208,56.61,90.64
4,2014,7.898860305,9.155605372,52.72,73.52
4,2015,7.847854981,9.16031049,48.18,74.39
4,2016,7.909404615,9.150575505,45.04,82.72
4,2017,7.885732413,9.127392365,45.47,76.87667
5,1980,6.500448476,7.630456407,46.23,27.53559671
5,1981,6.517316705,7.46262841,39.25,28.25753086
5,1982,6.539860484,7.366166981,34.81,27.66814815
5,1983,6.542428732,7.225146628,34.12,26.68111111
5,1984,6.519397994,7.188639297,30.35,30.42333333
5,1985,6.526831553,7.220461616,33.47,25.9
5,1986,6.510124403,7.195037271,32.83,23.72
5,1987,6.518070012,7.200283092,32.89,41.65
5,1988,6.521018692,7.244748808,32.61,35.31
5,1989,6.529214438,7.2376344,35.39,60.39
5,1990,6.547660207,7.323177319,35.41,53.03
5,1991,6.569032512,7.301296243,36.97,64.88
5,1992,6.582579002,7.321353887,37.71,61.03
5,1993,6.573484617,7.275760789,33.17,58.11
5,1994,6.52372382,7.232509123,31.32,42.31
5,1995,6.52601158,7.206881615,36.54,59.77
5,1996,6.542731293,7.223098724,37.45,57.69
5,1997,6.551151761,7.227154018,35.25,76.86
5,1998,6.533076375,7.227727856,28.7,66.17
5,1999,6.543278552,7.208585534,29.36,55.85
5,2000,6.556266862,7.232494668,33.82,71.38
5,2001,6.579876017,7.264870126,28.28,81.81
5,2002,6.586185448,7.382273701,23.04,63.38
5,2003,6.616091959,7.427798292,26,75.22
5,2004,6.618405149,7.490674562,28.39,48.45
5,2005,6.631171393,7.527218244,28.2,50.75
5,2006,6.613303678,7.559934621,25.75,64.61
5,2007,6.621645303,7.597446495,24.34,64.46
5,2008,6.624397178,7.636399904,24.71,64.97
5,2009,6.581761946,7.687075569,21.24,61.8
5,2010,6.628504232,7.737376394,25.32,42.65
5,2011,6.657805633,7.762315278,28.28,52.79
5,2012,6.68289776,7.776933439,27.07,44.38
5,2013,6.659473391,7.814746908,25.74,31.05
5,2014,6.638083379,7.849284816,24.64,30.89
5,2015,6.660319035,7.84899225,20.16,21.15
5,2016,6.652678066,7.806415503,18.17,31.87
