Country,Year,lnrgdp,lnec2
Rep. of Congo,1984,8.134382523,-0.597011237
Rep. of Congo,1985,8.094158641,-0.415056518
Rep. of Congo,1986,7.995208874,-0.490414627
Rep. of Congo,1987,7.969572178,-0.380713011
Rep. of Congo,1988,7.959758024,-0.469523859
Rep. of Congo,1989,7.958150239,-0.417355372
Rep. of Congo,1990,7.940754692,-0.366984588
Rep. of Congo,1991,7.936985335,-0.416204624
Rep. of Congo,1992,7.935225961,-0.442153843
Rep. of Congo,1993,7.897686731,-0.47337497
Rep. of Congo,1994,7.813272181,-0.506676222
Rep. of Congo,1995,7.824186001,-0.47337497
Rep. of Congo,1996,7.837696419,-0.472087968
Rep. of Congo,1997,7.802605803,-0.472087968
Rep. of Congo,1998,7.810299965,-0.540877586
Rep. of Congo,1999,7.755158848,-0.569717142
Rep. of Congo,2000,7.799322898,-0.561965048
Rep. of Congo,2001,7.808107668,-0.458145366
Rep. of Congo,2002,7.824581867,-0.486430542
Rep. of Congo,2003,7.803941258,-0.42314918
Rep. of Congo,2004,7.808176758,-0.39482904
Rep. of Congo,2005,7.851380983,-0.192096486
Rep. of Congo,2006,7.878655401,-0.174070021
Rep. of Congo,2007,7.828332809,-0.062215039
Rep. of Congo,2008,7.848227273,0.004479871
Rep. of Congo,2009,7.887426362,0.10594018
Rep. of Congo,2010,7.940832995,0.304882786
Rep. of Congo,2011,7.946522017,0.332373853
Rep. of Congo,2012,7.957908849,0.369776777
Rep. of Congo,2013,7.967086053,0.477947993
Rep. of Congo,2014,8.008279073,0.397174531
Rep. of Congo,2015,8.009562459,0.41710631
Rep. of Congo,2016,7.955768769,0.431866741
Rep. of Congo,2017,7.898570753,0.415584239
