"Years","LnRgdp_Algeria","LnEnergy_Algeria","res_Algeria","LnRgdp_Angola","LnEnergy_Angola","res_Angola","LnRgdp_Egypt","LnEnergy_Egypt","res_Egypt","LnRgdp_Gabon","LnEnergy_Gabon","res_Gabon","LnRgdp_Nigeria","LnEnergy_Nigeria","res_Nigeria","LnRgdp_Rcongo","LnEnery_RCongo","res_Congo"
1991,8.144272715,3.532488767,0.473497680265007,7.872344626,0.726581957,-0.283482481637306,7.338901129,3.588064149,-0.322266689221114,9.351114845,0.106160196,1.08803654135923,7.301296243,2.965788397,-0.467443267320341,7.936985335,-0.832409248,-0.488341783445479
1992,8.138608545,3.491068554,0.480339467402232,7.7793875,0.774266232,-0.348530317625566,7.361261064,3.58318555,-0.281083913873539,9.292635311,0.128393215,1.05306658443797,7.321353887,2.985075693,-0.424385268088268,7.935225961,-0.884307686,-0.479406552252827
1993,8.095168731,3.411114709,0.495999798534424,7.472699702,0.750472247,-0.586409716316927,7.369373852,3.64037175,-0.190163827364729,9.304574519,0.082501222,1.1299941487754,7.275760789,2.999275987,-0.394601963978646,7.897686731,-0.946749939,-0.454818439649519
1994,8.065419188,3.442883003,0.497664700413851,7.453747254,0.726581957,-0.58356931893175,7.388247461,3.674273302,-0.139507001004602,9.314696784,0.128393215,1.17397239714519,7.232509123,2.930980396,-0.423737049258117,7.813272181,-1.013352445,-0.524823728364575
1995,8.08361869,3.48280809,0.489179549719878,7.561340088,0.797056644,-0.497380083118308,7.413560321,3.697665741,-0.143736762877874,9.337383511,0.060153923,1.15127628943706,7.206881615,3.044331943,-0.463356109631741,7.824186001,-0.946749939,-0.535982883529017
1996,8.1062672,3.457105014,0.474233566648522,7.6562189,0.750472247,-0.443705480663458,7.442111865,3.777508272,-0.134534232349327,9.347504159,0.105260511,1.13604318385937,7.223098724,3.064184999,-0.476858286949524,7.837696419,-0.944175935,-0.555178750545586
1997,8.10105331,3.412203261,0.446247217594622,7.69426529,0.852285402,-0.403069206963333,7.475492286,3.814895175,-0.109701178170337,9.378119194,0.150142658,1.1594065414127,7.227154018,3.065398252,-0.487603633704795,7.802605803,-0.944175935,-0.60527974016886
1998,8.135789277,3.449225351,0.477786094248253,7.707817766,0.762673243,-0.414604856592474,7.509789957,3.845541264,-0.0797028053629746,9.387451712,0.105260511,1.15138333065584,7.227727856,3.023347441,-0.503896076490335,7.810299965,-1.081755172,-0.630965686458311
1999,8.153125272,3.446584938,0.519470117631522,7.696907852,0.863311807,-0.383313090868204,7.548893119,3.885247726,-0.00893118672225931,9.26940519,0.01093994,1.0418362527157,7.208585534,3.025921945,-0.497788876767426,7.755158848,-1.139434283,-0.671273215989331
2000,8.176835817,3.433309556,0.528315310925274,7.6942243,0.830732844,-0.404198969966906,7.591341903,3.929017773,0.0285135864711403,9.226247185,-0.06720875,0.972598363720181,7.232494668,3.015632935,-0.488228845707359,7.799322898,-1.123930097,-0.63699944544233
2001,8.193295167,3.450368426,0.513197056181791,7.702411568,1.098945566,-0.384172791202519,7.60707338,4.032610992,0.0276264962873204,9.223530005,-0.040821995,0.939916073710637,7.264870126,3.135146329,-0.46971986281984,7.808107668,-0.916290732,-0.626846972157389
2002,8.235034504,3.465423354,0.514761825558768,7.797209101,1.17186275,-0.319547281508824,7.611877018,4.047287895,-0.00780978183879728,9.197226763,-0.06720875,0.866274314746149,7.382273701,3.160271661,-0.390750002782412,7.824581867,-0.972861083,-0.662929074174885
2003,8.291799611,3.475283925,0.548887986229898,7.7928814,1.22524494,-0.338990424693944,7.624726402,4.120629402,-0.00662550872636235,9.195190185,-0.040821995,0.844455642176501,7.427798292,3.205831111,-0.361693156987451,7.803941258,-0.84629836,-0.686034537998642
2004,8.320723216,3.44919358,0.538873902995449,7.862289323,1.296643139,-0.291667520344747,7.646520933,4.180644575,-0.00888375964625416,9.176746359,0.01093994,0.800532311820288,7.490674562,3.210601688,-0.33241970303925,7.808176758,-0.789658081,-0.706435231785489
2005,8.364149232,3.616980579,0.548455691721517,7.966926564,1.310222924,-0.24753203086026,7.672208653,4.241945266,-0.0354483638131533,9.176369852,-0.015113638,0.7328027049953,7.527218244,3.30567718,-0.34228975599195,7.851380983,-0.384192973,-0.655988246051452
2006,8.36629588,3.6567694,0.531780248271632,8.040011864,1.42575543,-0.180175147464075,7.720687933,4.18299626,-0.0228598061560997,9.119820301,0.05921186,0.663401355895967,7.559934621,3.2554006,-0.343964914621567,7.878655401,-0.348140041,-0.64818173592586
2007,8.384217073,3.658755242,0.508499312756219,8.134320932,1.577327859,-0.101209443232156,7.77164895,4.251789809,-0.00155198929986844,9.148934007,0.128393215,0.662928901079202,7.597446495,3.143807392,-0.367289375606146,7.828332809,-0.124430078,-0.70137740569725
